hour,actual,baseline_prediction,improved_prediction,baseline_residual,improved_residual
2017-11-15 07:00:00,835,31.466686925756107,634.3033333333333,803.5333130742439,200.69666666666672
2017-11-15 08:00:00,1203,106.66899318677224,985.7966666666666,1096.3310068132278,217.20333333333338
2017-11-15 09:00:00,547,128.98905507512507,496.1166666666667,418.01094492487493,50.883333333333326
2017-11-15 10:00:00,305,207.14763055931496,258.44666666666666,97.85236944068504,46.55333333333334
2017-11-15 11:00:00,314,243.48737376537576,298.69666666666666,70.51262623462424,15.303333333333342
2017-11-15 12:00:00,377,227.99231152219738,403.54333333333335,149.00768847780262,-26.54333333333335
2017-11-15 13:00:00,399,260.7369716344624,414.8666666666667,138.2630283655376,-15.866666666666674
2017-11-15 14:00:00,376,264.1259205162261,399.3466666666667,111.87407948377393,-23.346666666666692
2017-11-15 15:00:00,463,382.16537771356946,459.92,80.83462228643054,3.079999999999984
2017-11-15 16:00:00,714,382.18067571407755,522.8,331.81932428592245,191.20000000000005
2017-11-15 17:00:00,1191,362.1115982616212,1045.86,828.8884017383788,145.1400000000001
2017-11-15 18:00:00,983,379.2547312875241,934.4166666666666,603.7452687124759,48.58333333333337
2017-11-15 19:00:00,557,343.870677168606,579.86,213.129322831394,-22.860000000000014
2017-11-15 20:00:00,389,401.1071831140466,379.87,-12.10718311404662,9.129999999999995
2017-11-15 21:00:00,296,432.5751612601882,290.1433333333333,-136.57516126018822,5.856666666666683
2017-11-15 22:00:00,227,424.0022150127634,212.36333333333334,-197.00221501276337,14.636666666666656
2017-11-15 23:00:00,107,469.7425897531725,149.50666666666666,-362.7425897531725,-42.50666666666666
2017-11-16 00:00:00,55,-23.137576645851993,51.31333333333333,78.137576645852,3.6866666666666674
2017-11-16 01:00:00,14,34.098929299588576,20.436666666666667,-20.098929299588576,-6.436666666666667
2017-11-16 02:00:00,9,49.030632894034284,14.27,-40.030632894034284,-5.27
2017-11-16 03:00:00,5,107.55538757271813,5.403333333333333,-102.55538757271813,-0.4033333333333333
2017-11-16 04:00:00,19,88.7745588535052,13.38,-69.7745588535052,5.619999999999999
2017-11-16 05:00:00,89,64.08764154030843,98.35666666666667,24.912358459691575,-9.35666666666667
